"GEOID","population","households","acreage","pct.housing.transpo.typical.income.household","pct.housing.typical.income","housing.cost","pct.transpo.typical.income.household","household.co2","autos.typical.income.household","typical.income.household.mileage","pct.transit.commuters.typical.income.household","typical.income.household.transpo.cost","typical.income.household.auto.ownership.cost","typical.income.household.mileage.cost","typical.income.household.transit.trips","overall.employment.index","employment.mix.index","housing.units.per.acre","walkable.index","gross.household.density","median.monthly.homeowner.cost","median.monthly.rent","pct.single.fam","pct.owner.occupied","pct.renter.occupied","cbsa.total.employ","cbsa.total.workers","pct.working.age","zero.auto","one.auto","two.plus.auto","num.workers.home","low.wage.home","med.wage.home","hi.wage.home","total.employ","retail.jobs","office.jobs","industrial.jobs","service.jobs","entertainment.jobs","education.jobs","healthcare.jobs","public.admin.jobs","job.type.mix","low.wage.work","med.wage.work","hi.wage.work","jobs.per.household","pct.bg.employ.near.transit","jobs.within.45.drive","workers.within.45.drive"
"360910609012",860,367,4799.47,0.59,0.32,1197,0.26,10.89,2.18,25527,0,16418,12473,3945,0,2.7,83,0.13,0.6,0.08,1688,1058,0.87,0.95,0.05,412385,395114,0.7817,0,63,297,325,74,113,138,38,5,0,23,1,0,2,7,0,0,10,24,4,0.119122,0,21618.6609,37280.64
"360910608001",3032,1153,11554.97,0.51,0.25,1322,0.26,11.03,2.15,25183,0,16187,12295,3892,0,0.7,84,0.58,1.5,0.1,1376,1035,0.79,0.84,0.16,412385,395114,0.76627,54,203,924,1435,351,480,604,229,0,3,139,69,6,0,11,1,0.550443,35,112,82,0.21106,0,21866.2212,38131.349
"360910620004",816,324,9467.59,0.61,0.33,1721,0.28,11.19,2.3,25991,0,17133,13116,4017,0,2.3,84,0.12,0.1,0.03,1721,950,1,1,0,412385,395114,0.75985,0,141,294,568,118,189,261,117,7,0,28,9,1,0,0,72,0.650842,53,37,27,0.288889,0,18862.1265,34473.575
"360930205002",879,384,64.45,0.44,0.24,1228,0.2,8.08,1.65,19463,0.05,12514,9440,3008,65,8.4,88,5.87,6.3,5.96,1393,821,0.62,0.71,0.29,412385,395114,0.76226,41,243,94,421,130,116,175,189,57,6,1,8,111,3,2,1,0.522653,97,65,27,0.541547,0,60946.3164,93650.6484
"360930205006",907,330,114.84,0.43,0.23,1197,0.2,8.43,1.65,19280,0.07,12467,9400,2980,85,8.4,88,4.98,6.3,2.87,1380,815,0.59,0.68,0.32,412385,395114,0.76869,0,208,142,366,85,114,167,32,0,2,20,0,9,0,1,0,0,12,15,5,0.099379,0,58902.0036,89062.3182
"360930201021",975,360,51.25,0.4,0.21,1092,0.19,7.73,1.57,18256,0.05,11866,8972,2822,71,8.5,88,8.32,7.4,7.02,1213,886,0.48,0.63,0.37,412385,395114,0.73379,10,156,261,357,80,149,128,23,13,0,0,4,0,0,6,0,0,11,9,3,0.058376,0,57562.4551,88137.8646
"360930334002",1176,514,74.35,0.37,0.19,993,0.18,6.6,1.46,16830,0.07,11019,8320,2601,95,8.8,89,11.57,8.4,6.91,1484,693,0.31,0.38,0.62,412385,395114,0.84461,190,234,213,588,172,202,214,125,1,25,0,14,0,1,84,0,0.566319,29,75,21,0.217391,0,60591.1844,93073.1359
"360930205001",877,373,90.4,0.55,0.34,1756,0.22,8.5,1.77,20868,0.05,13418,10131,3225,61,8.4,88,4.1,3.4,4.13,1756,1018,0.97,0.91,0.09,412385,395114,0.8507,0,159,214,626,163,190,273,22,0,1,2,6,0,0,13,0,0,9,12,1,0.06044,0,60102.9037,92381.0399
"360930212002",1400,485,69.33,0.42,0.22,1154,0.19,8.49,1.6,18716,0.05,12117,9155,2892,68,7.5,87,7.78,7.6,7,1359,852,0.39,0.6,0.4,412385,395114,0.78111,41,164,336,604,181,248,175,86,29,1,3,26,16,11,0,0,0.822095,39,42,5,0.172691,0,50450.8798,82870.6173
"360010144012",1633,691,11912.14,0.51,0.27,1394,0.24,10.33,1.94,24131,0.01,14843,11104,3729,9,5.9,83,0.51,2.8,0.06,1750,721,0.67,0.65,0.35,412385,395114,0.79449,8,169,578,656,149,187,320,655,155,31,395,31,22,0,21,0,0.646897,171,147,337,0.923836,0,15903.503,25242.7686
"360830520021",1739,692,12607.51,0.6,0.34,1754,0.27,11.07,2.21,25655,0,16571,12606,3965,0,3.9,84,0.09,0.3,0.05,1875,695,0.95,0.9,0.1,412385,395114,0.7738,21,169,490,898,186,275,437,483,16,0,153,44,13,254,1,2,0.599241,83,162,238,0.75351,0,25458.0671,41977.4928
"360930208001",702,393,43.11,0.33,0.17,889,0.15,3.87,1.3,13467,0.12,9641,7400,2081,156,8.8,89,15.74,9.2,9.12,1333,865,0.17,0.05,0.95,412385,395114,0.75027,200,239,94,355,107,149,99,67,0,0,0,26,11,27,3,0,0.843477,12,39,16,0.151242,0,59515.3295,92369.4447
"360930207004",1671,456,43.59,0.36,0.18,946,0.18,8.12,1.49,16945,0.09,11220,8482,2619,117,8.5,87,9.12,8.3,10.46,1069,855,0.42,0.42,0.58,412385,395114,0.72237,111,173,117,302,66,152,84,41,12,1,0,11,14,0,3,0,0,29,10,2,0.111111,0,62685.6466,96794.2026
"360930334003",1341,0,108.19,0.55,0.36,1721,0.19,8.8,1.59,17566,0.07,11738,12295,3892,121,8.7,88,0,6.5,0,2207,1185,0.55,0.64,0.05,412385,395114,0.99775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57105.443,88290.7022
"360010132003",480,214,45.22,0.33,0.16,806,0.18,6.88,1.46,16010,0.09,10926,8325,2474,124,8.3,88,8.3,8.7,4.73,1182,806,0.32,0.45,0.55,412385,395114,0.76203,39,70,83,213,64,77,72,220,113,15,24,51,17,0,0,0,0.810055,119,60,41,1.28655,0,75665.1269,108369.7836
"360930330041",536,231,73.57,0.48,0.27,1377,0.22,8.9,1.81,21320,0.01,13661,10351,3295,15,7.2,87,3.99,4.3,3.14,1377,1214,0.87,0.9,0.1,412385,395114,0.80392,0,126,161,293,71,104,118,13,0,0,0,12,0,0,0,1,0,2,0,11,0.047101,0,48239.2679,78060.4817
"360010138014",459,279,101.74,0.59,0.4,2059,0.2,7.6,1.6,19584,0.05,12237,9132,3027,77,7.9,87,3.68,7.1,2.74,2059,1165,0.46,0.47,0.53,412385,395114,0.87656,49,75,202,245,61,78,106,1336,23,1,89,1205,7,5,4,2,0.204099,737,499,100,4.24127,0,72359.4323,92361.2262
"360010006002",882,271,29.73,0.3,0.16,831,0.14,4.87,1.11,11780,0.19,8434,6330,1821,277,9.8,89,16.82,9.5,9.12,1231,831,0.02,0.06,0.94,412385,395114,0.73238,144,173,150,235,82,115,38,435,38,75,10,20,33,1,257,1,0.614995,167,192,76,1.153846,0,98426.8455,115414.9052
"360930331024",1402,379,4195.57,0.61,0.35,1838,0.25,12.35,2.07,24873,0,15646,11800,3844,3,4.1,82,0.38,1.8,0.09,2010,777,0.81,0.86,0.14,412385,395114,0.7589,83,56,238,469,105,149,215,119,0,0,54,8,20,0,9,28,0.854642,45,57,17,0.328729,0,28866.8533,46980.1127
"360010144013",1352,512,15194.82,0.58,0.32,1643,0.27,11.25,2.2,25555,0,16533,12583,3949,1,4.3,83,0.09,0.3,0.03,1643,1098,0.9,0.92,0.08,412385,395114,0.79274,21,121,349,364,82,126,156,74,23,7,37,5,2,0,0,0,0.753374,18,41,15,0.16087,0,17243.4924,26784.1232
"360930332003",344,169,44.59,0.38,0.2,1017,0.19,6.57,1.54,17731,0.06,11631,8816,2740,73,7.6,88,8.94,8.3,3.79,1257,835,0.34,0.43,0.57,412385,395114,0.77272,36,187,156,365,77,175,113,38,6,11,9,11,0,0,1,0,0,18,14,6,0.111437,0,53446.9565,87200.0163
"360930209001",997,258,48.72,0.29,0.13,661,0.16,6.29,1.31,14826,0.15,9990,7503,2291,191,8.7,88,9.22,9.1,5.3,985,661,0.02,0.29,0.71,412385,395114,0.63218,173,180,76,323,97,150,76,120,51,8,11,18,7,0,25,0,0.859693,55,43,22,0.34188,0,62597.6497,97366.9393
"360930210021",605,278,29.18,0.21,0.06,288,0.16,2.9,1.28,14068,0.16,9691,7304,2174,207,8.6,89,27.36,9.3,9.53,1112,288,0,0.19,0.81,412385,395114,0.79703,245,181,33,204,78,70,56,137,114,6,5,1,7,0,4,0,0.391682,22,53,62,0.346835,0,62249.1032,95612.2744
