blkgrp,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""360010148032""",1.00,1831.00,713.00,15238.71,54,66,62,28,35,32,27,31,30,12.16,0.57,2.10,2,2,28346,27860,28305,2,2,2,16278,15406,15688,9819,9059,9240,6431,6318,6419,28,30,29,21,23,22,1.2,4.6,0.07,0.05,1764,79,2710,66,186,5,3618,1412,1534,775,84,16
"""360010001002""",1.00,1061.00,361.00,88.18,36,44,41,19,24,22,17,20,19,6.69,27.37,1.39,1,1,16872,16589,16935,11,11,11,10537,9878,10136,6512,5916,6093,3828,3762,3840,197,200,202,148,150,152,8.6,9.4,6.71,4.09,18227,15,42067,71,8,232,732,976,1407,769,32,68
"""360010005011""",1.00,1320.00,588.00,27.15,30,36,34,15,18,17,15,18,17,4.84,104.89,1.18,1,1,14890,14607,14953,16,16,16,9197,8584,8842,5525,4974,5152,3378,3312,3391,294,297,299,221,223,225,9.4,9.7,45.49,21.65,30304,5,67022,74,5,354,621,750,,750,5,95
"""360010002003""",1.00,1365.00,403.00,53.61,35,42,39,19,24,22,15,18,17,5.73,43.06,1.22,1,1,15238,14955,15301,15,16,16,9428,8808,9066,5686,5128,5306,3457,3391,3470,285,288,290,214,217,218,9.1,9.8,13.09,7.52,27168,9,83458,75,5,310,665,986,1671,675,31,69
"""360010001001""",1.00,1102.00,439.00,496.83,40,49,46,21,27,25,19,22,21,7.05,6.23,1.52,1,1,18830,18546,18892,10,10,10,11538,10851,11109,7091,6467,6645,4272,4206,4284,176,179,181,132,134,136,7.3,9.4,6.42,0.88,18028,33,41607,71,8,152,958,1098,1409,815,48,52
"""360010002001""",1.00,2828.00,1195.00,358.13,27,33,31,11,14,13,16,19,18,4.73,15.79,1.27,1,1,16186,15903,16249,14,14,14,9855,9223,9481,5928,5359,5536,3672,3606,3685,255,258,260,191,193,195,8.8,9.8,18.99,3.34,24722,9,79129,75,7,223,797,564,1091,487,13,87
"""360010002002""",1.00,764.00,384.00,51.06,33,40,38,18,22,21,15,18,17,5.36,40.33,1.22,1,1,15436,15152,15499,15,15,15,9485,8864,9122,5704,5145,5323,3502,3436,3515,280,282,285,210,212,214,9.1,9.7,15.38,7.52,26490,8,81073,75,5,276,648,912,1239,588,50,50
"""360010002004""",1.00,378.00,227.00,47.52,26,31,30,11,14,13,15,17,16,2.62,12.53,1.17,1,1,14021,13737,14084,19,19,20,8987,8378,8636,5451,4904,5081,3181,3115,3194,356,359,361,267,269,271,9.2,9.8,7.86,4.78,27872,0,85750,75,3,471,536,585,,585,18,82
"""360010003002""",1.00,1825.00,484.00,83.25,37,45,42,21,26,24,16,19,18,6.03,35.04,1.31,1,1,15836,15552,15899,14,14,14,9951,9311,9569,6099,5522,5699,3592,3527,3605,260,262,264,195,197,199,8.9,9.6,11.39,5.81,29316,13,64925,73,12,161,1052,1050,1344,920,31,69
"""360010003001""",1.00,1242.00,623.00,646.50,44,53,50,24,30,28,20,23,22,7.85,7.56,1.59,2,2,19455,19171,19518,9,9,9,11991,11289,11547,7408,6769,6947,4414,4347,4426,169,172,174,127,129,131,6.4,9.5,3.17,0.96,21674,53,52013,72,10,145,1178,1231,1443,923,59,41
