"blkgrp","blkgrps","population","households","land_acres","ht_ami","ht_80ami","ht_nmi","h_ami","h_80ami","h_nmi","t_ami","t_80ami","t_nmi","co2_per_hh_local","co2_per_acre_local","autos_per_hh_ami","autos_per_hh_80ami","autos_per_hh_nmi","vmt_per_hh_ami","vmt_per_hh_80ami","vmt_per_hh_nmi","pct_transit_commuters_ami","pct_transit_commuters_80ami","pct_transit_commuters_nmi","t_cost_ami","t_cost_80ami","t_cost_nmi","auto_ownership_cost_ami","auto_ownership_cost_80ami","auto_ownership_cost_nmi","vmt_cost_ami","vmt_cost_80ami","vmt_cost_nmi","transit_cost_ami","transit_cost_80ami","transit_cost_nmi","transit_trips_ami","transit_trips_80ami","transit_trips_nmi","compact_ndx","emp_ovrll_ndx","res_density","gross_hh_density","hh_gravity","frac_sfd","emp_gravity","emp_ndx","block_size","intersection_density","avg_block_perimeter_meters","h_cost","median_smoc","median_gross_rent","pct_owner_occupied_hu","pct_renter_occupied_hu"
"""360910609012""",1,860,367,4799.47,NA,NA,NA,NA,NA,NA,26,29,29,10.89,0.83,2.18,2,2,25527,22622,25966,0,0,0,16418,14449,15814,12473,10954,11803,3945,3495,4011,0,0,0,0,0,0,0.6,2.7,0.13,0.08,3031,87,3120,83,117,10,2828,NA,NA,NA,95,5
"""360910608001""",1,3032,1153,11554.97,51,60,58,25,32,29,26,29,29,11.03,1.1,2.15,2,2,25183,22367,25588,0,0,0,16187,14266,15568,12295,10810,11615,3892,3455,3953,0,0,0,0,0,0,1.5,0.7,0.58,0.1,3471,79,2773,84,109,9,3037,1322,1376,1035,84,16
"""360910620004""",1,816,324,9467.59,61,72,69,33,41,38,28,30,31,11.19,0.38,2.3,2,2,25991,23082,26427,0,0,0,17133,15118,16505,13116,11552,12422,4017,3566,4083,0,0,0,0,0,0,0.1,2.3,0.12,0.03,3210,100,3264,84,123,7,2990,1721,1721,NA,100,0
"""360930205002""",1,879,384,64.45,44,51,50,24,30,27,20,21,22,8.08,48.14,1.65,1,2,19463,17101,19754,5,5,5,12514,10609,12070,9440,7906,8948,3008,2642,3052,66,61,71,65,60,69,6.3,8.4,5.87,5.96,19463,62,22988,88,6,228,727,1228,1393,821,71,29
"""360930205006""",1,907,330,114.84,43,50,49,23,29,27,20,21,22,8.43,24.22,1.65,1,2,19280,16871,19572,7,6,7,12467,10615,12003,9400,7928,8889,2980,2606,3024,87,81,91,85,79,89,6.3,8.4,4.98,2.87,19861,59,27710,88,8,184,751,1197,1380,815,68,32
"""360930201021""",1,975,360,51.25,40,46,46,21,26,24,19,20,21,7.73,54.27,1.57,1,2,18256,15911,18526,5,5,6,11866,10026,11420,8972,7502,8477,2822,2458,2862,73,66,80,71,64,78,7.4,8.5,8.32,7.02,18227,48,29491,88,4,337,489,1092,1213,886,63,37
"""360930334002""",1,1176,514,74.35,37,43,42,19,24,22,18,19,20,6.6,45.64,1.46,1,1,16830,14693,17042,7,7,8,11019,9321,10554,8320,6960,7817,2601,2270,2633,97,91,104,95,89,102,8.4,8.8,11.57,6.91,22034,31,34564,89,6,267,684,993,1484,693,38,62
"""360930205001""",1,877,373,90.4,55,65,63,34,42,39,22,23,24,8.5,35.07,1.77,2,2,20868,18397,21181,5,4,5,13418,11409,12970,10131,8509,9633,3225,2842,3272,63,57,65,61,56,64,3.4,8.4,4.1,4.13,19018,97,25009,88,7,142,814,1756,1756,NA,91,9
"""360930212002""",1,1400,485,69.33,42,48,47,22,28,26,19,21,22,8.49,59.42,1.6,1,2,18716,16325,19010,5,5,6,12117,10267,11662,9155,7682,8650,2892,2522,2937,69,63,75,68,62,73,7.6,7.5,7.78,7,16538,39,17776,87,5,314,612,1154,1359,852,60,40
"""360010144012""",1,1633,691,11912.14,51,60,57,27,34,31,24,26,26,10.33,0.6,1.94,2,2,24131,21553,24483,1,0,1,14843,13055,14245,11104,9719,10453,3729,3330,3782,10,7,9,9,6,9,2.8,5.9,0.51,0.06,3731,67,3988,83,175,6,2964,1394,1750,721,65,35
"""360830520021""",1,1739,692,12607.51,60,72,69,34,42,39,27,29,30,11.07,0.61,2.21,2,2,25655,22857,26054,0,0,0,16571,14633,15944,12606,11102,11919,3965,3531,4025,0,0,0,0,0,0,0.3,3.9,0.09,0.05,4198,95,4473,84,210,9,3578,1754,1875,695,90,10
"""360930208001""",1,702,393,43.11,33,38,37,17,21,20,15,16,17,3.87,35.27,1.3,1,1,13467,11752,13555,12,11,13,9641,8175,9140,7400,6210,6874,2081,1816,2094,159,150,172,156,146,168,9.2,8.8,15.74,9.12,22076,17,35057,89,5,312,666,889,1333,865,5,95
"""360930207004""",1,1671,456,43.59,36,42,41,18,23,21,18,19,20,8.12,84.95,1.49,1,1,16945,14897,17137,9,9,9,11220,9512,10740,8482,7096,7967,2619,2301,2647,119,114,126,117,112,123,8.3,8.5,9.12,10.46,21950,42,23431,87,4,382,574,946,1069,855,42,58
"""360930334003""",1,1341,0,108.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,0,0,NA,NA,NA,NA,NA,NA,824,NA,NA,NA,NA,NA
"""360010132003""",1,480,214,45.22,33,38,37,16,19,18,18,18,19,6.88,32.55,1.46,1,1,16010,14081,16187,9,8,9,10926,9206,10474,8325,6905,7837,2474,2175,2501,127,126,136,124,123,133,8.7,8.3,8.3,4.73,20988,32,29264,88,2,594,393,806,NA,806,45,55
"""360930330041""",1,536,231,73.57,48,56,55,27,33,31,22,23,25,8.9,27.94,1.81,2,2,21320,18856,21642,1,1,1,13661,11609,13210,10351,8682,9850,3295,2913,3343,15,14,17,15,14,16,4.3,7.2,3.99,3.14,14292,87,14319,87,4,293,570,1377,1377,NA,90,10
"""360010138014""",1,459,279,101.74,59,71,68,40,50,46,20,21,22,NA,NA,1.6,1,2,19584,17394,19836,5,5,6,12237,10479,11742,9132,7718,8594,3027,2687,3064,79,74,84,77,72,82,7.1,7.9,3.68,2.74,10878,46,19880,87,13,201,849,2059,2059,NA,47,53
"""360010006002""",1,882,271,29.73,30,34,33,16,20,19,14,14,15,4.87,44.41,1.11,1,1,11780,10013,11921,19,18,20,8434,7055,7998,6330,5241,5857,1821,1547,1842,283,267,299,277,260,292,9.5,9.8,16.82,9.12,32192,2,71055,89,5,388,679,831,NA,831,6,94
"""360930331024""",1,1402,379,4195.57,61,72,69,35,44,41,25,28,28,12.35,1.12,2.07,2,2,24873,22095,25283,0,0,0,15646,13731,15054,11800,10317,11146,3844,3413,3906,3,0,2,3,0,2,1.8,4.1,0.38,0.09,2917,81,3078,82,62,10,2109,1838,2010,777,86,14
"""360010144013""",1,1352,512,15194.82,58,69,66,32,40,37,27,29,30,11.25,0.38,2.2,2,2,25555,22713,25980,0,0,0,16533,14595,15913,12583,11087,11899,3949,3509,4014,1,0,0,1,0,0,0.3,4.3,0.09,0.03,3256,90,3476,83,200,4,3404,1643,1643,NA,92,8
"""360930332003""",1,344,169,44.59,38,44,43,20,24,23,19,20,21,6.57,24.91,1.54,1,2,17731,15574,17953,6,5,6,11631,9878,11146,8816,7400,8293,2740,2406,2773,75,72,80,73,71,78,8.3,7.6,8.94,3.79,17547,34,19190,88,4,388,540,1017,1257,835,43,57
"""360930209001""",1,997,258,48.72,29,33,32,13,16,15,16,17,18,6.29,33.29,1.31,1,1,14826,12529,15090,15,13,16,9990,8410,9548,7503,6295,7009,2291,1936,2331,195,179,207,191,175,202,9.1,8.7,9.22,5.3,23181,2,31924,88,5,368,608,661,NA,661,29,71
"""360930210021""",1,605,278,29.18,21,23,24,6,7,6,16,16,17,2.9,27.65,1.28,1,1,14068,11927,14284,16,14,17,9691,8158,9238,7304,6122,6804,2174,1842,2207,212,194,227,207,189,222,9.3,8.6,27.36,9.53,21983,0,33333,89,5,417,616,288,NA,288,19,81
"""360830406002""",1,803,324,40.6,36,41,40,19,23,22,17,18,19,6.17,49.21,1.42,1,1,15473,13416,15668,7,7,8,10629,8964,10165,8098,6762,7590,2391,2073,2421,139,130,154,136,127,150,9,8.4,11.82,7.98,20323,17,29614,88,3,394,438,968,1320,813,31,69
"""360830406001""",1,717,274,50.6,36,41,40,18,23,21,17,18,19,6.21,33.62,1.42,1,1,15964,13859,16171,8,7,9,10703,9068,10226,8085,6786,7565,2467,2141,2498,150,140,163,147,137,159,8.9,8.4,6.52,5.42,19780,16,29493,89,6,278,554,957,1230,861,26,74
"""360830401003""",1,292,177,38.29,37,43,42,18,22,21,19,20,21,6.4,29.61,1.57,1,2,17566,15415,17783,7,6,7,11822,10098,11310,8980,7597,8426,2715,2381,2747,127,120,137,124,117,134,8.4,5.5,8.43,4.62,13046,34,11367,87,3,368,481,931,1159,774,41,59
"""360830402005""",1,417,198,33.61,31,36,35,14,17,16,18,19,20,5.98,35.23,1.46,1,1,16230,13984,16475,9,9,10,11038,9359,10554,8357,7037,7825,2508,2160,2545,172,162,184,168,158,179,8.9,6.4,9.95,5.89,16471,13,14902,87,3,380,476,704,NA,704,34,66
"""360930320003""",1,772,236,89.11,60,71,69,39,48,45,22,23,25,9.94,26.33,1.81,2,2,21134,18561,21479,4,4,4,13654,11597,13217,10333,8680,9840,3266,2867,3318,56,50,59,54,49,57,2.6,8.3,3.2,2.65,17038,100,23615,88,6,216,673,2000,2000,NA,100,0
"""360957403001""",1,1229,0,140.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,0,0,NA,NA,NA,NA,NA,NA,902,NA,NA,NA,NA,NA
"""360830402003""",1,1167,387,37.83,38,44,43,20,25,23,18,20,20,6.68,68.37,1.53,1,2,16731,14703,16909,7,6,7,11465,9751,10966,8753,7360,8214,2586,2271,2612,127,120,140,124,117,136,8.6,6.2,12.07,10.23,16126,34,14488,87,3,440,439,1019,1580,698,36,64
"""360830520043""",1,1103,461,3125.37,52,61,59,28,36,33,24,26,27,9.44,1.39,1.96,2,2,23324,20594,23730,1,1,1,14824,12884,14297,11201,9691,10611,3605,3181,3666,18,11,20,18,11,20,2.5,5.2,0.95,0.15,6582,67,7472,85,98,29,2007,1474,1617,887,80,20
"""360010147002""",1,1421,547,15410.02,55,65,62,29,36,33,26,29,29,11.04,0.39,2.16,2,2,25269,22421,25700,0,0,0,16250,14307,15643,12341,10843,11670,3905,3464,3970,4,0,3,4,0,3,0.6,5.2,0.25,0.04,3460,88,3505,82,126,8,2525,1493,1539,919,93,7
"""360010148032""",1,1849,745,15238.71,57,67,65,31,39,36,26,29,29,10.93,0.53,2.15,2,2,25289,22418,25735,0,0,0,16172,14240,15571,12257,10776,11590,3908,3463,3976,6,0,5,6,0,5,0.5,4.9,0.07,0.05,2794,83,2821,82,186,5,3543,1608,1608,NA,92,8
"""360010131001""",1,1064,386,365.91,38,45,44,22,27,25,17,18,19,6.73,7.09,1.4,1,1,15660,13608,15869,9,8,9,10557,8947,10090,8010,6725,7502,2420,2102,2452,127,120,137,124,117,134,8.9,8.4,8.97,1.05,21505,12,31177,89,6,121,761,1117,1350,1036,26,74
"""360010135032""",1,1350,519,1694.38,61,72,70,37,46,43,24,26,27,9.79,3,1.98,2,2,23412,20881,23763,1,1,1,14937,12928,14424,11304,9689,10738,3618,3226,3671,15,13,15,14,13,14,1.7,6.2,0.54,0.31,9772,91,11288,86,56,31,1982,1931,2032,1340,85,15
"""360930325031""",1,1417,476,942.56,56,66,64,32,40,37,24,26,27,11.02,5.56,1.98,2,2,23702,21041,24101,2,1,2,14967,12928,14466,11280,9658,10718,3663,3250,3723,24,19,24,23,19,23,1.3,6.7,0.93,0.51,6739,95,6886,84,35,37,1793,1654,1654,NA,95,5
"""360830520033""",1,2499,1070,6223.34,50,58,56,27,33,31,23,25,26,9.64,1.66,1.88,2,2,22867,20341,23219,1,1,1,14286,12433,13749,10731,9275,10138,3534,3142,3587,21,16,23,20,16,23,3.5,5.4,0.53,0.17,5984,61,6305,85,120,19,2686,1390,1528,1125,66,34
"""360910620002""",1,1215,540,6388.74,64,76,73,38,48,44,26,29,29,9.9,0.84,2.16,2,2,25166,22086,25656,0,0,0,16230,14247,15652,12340,10835,11689,3889,3412,3964,0,0,0,0,0,0,0.5,3.7,0.27,0.08,3740,76,3842,84,145,10,3134,1988,1988,NA,100,0
"""360910615002""",1,1885,836,14631.67,55,64,62,29,36,33,26,29,29,9.97,0.57,2.14,2,2,25260,22465,25676,0,0,0,16149,14234,15537,12243,10763,11569,3904,3471,3967,2,0,1,2,0,1,0.8,3.8,0.11,0.06,3161,85,2854,82,154,8,2794,1490,1490,NA,87,13
"""360910605021""",1,1188,538,23927.35,49,57,56,23,28,26,26,29,29,9.86,0.22,2.19,2,2,25335,22445,25797,1,0,1,16399,14469,15787,12478,11000,11798,3916,3467,3985,5,1,4,5,1,4,0.6,3.6,0.1,0.02,1715,78,1849,81,187,10,3548,1181,1223,713,92,8
"""360910606011""",1,1222,469,9420.46,57,67,64,30,38,35,26,29,29,11.34,0.56,2.18,2,2,25497,22718,25908,0,0,0,16378,14464,15757,12436,10954,11754,3941,3510,4002,1,0,1,1,0,1,0.4,4.1,0.08,0.05,3230,90,3027,82,236,6,3692,1573,1573,NA,88,12
"""360910625072""",1,1466,647,2047.42,53,63,60,30,37,34,24,26,26,9.31,2.94,1.95,2,2,23339,20213,23825,1,0,1,14730,12809,14202,11119,9686,10517,3607,3123,3681,4,0,4,4,0,4,2.2,7,1.33,0.32,9551,59,9467,85,82,28,3051,1532,1583,877,93,7
"""360930324032""",1,1297,485,407.12,46,54,53,24,29,27,23,24,25,9.76,11.62,1.88,2,2,22092,19548,22434,0,0,1,14154,12097,13688,10734,9075,10214,3414,3020,3466,6,2,8,5,2,8,3.1,6.6,3.63,1.19,12027,90,14479,87,10,79,1039,1220,1253,879,91,9
"""360930322004""",1,702,419,338.02,42,49,48,22,27,25,21,22,23,6.14,7.61,1.68,1,2,20172,17325,20593,5,5,6,12797,10866,12367,9607,8127,9110,3118,2676,3181,72,63,75,70,62,73,5.9,8.3,6.15,1.24,16286,38,27514,88,13,70,1226,1139,1195,908,80,20
