"GEOID","city","zip","housing.cost","household.co2","housing.units.per.acre","pct.owner.occupied","hi.wage.workers.home","jobs.per.household","jobs.within.45.drive","weighted.jobs.within.45.drive"
"360010001001","Albany city, NY","12204",1098,7.05,6.42,0.48,149,5.048593,86326.4848,193967.62012232
"360010001001","Albany city, NY","12207",1098,7.05,6.42,0.48,149,5.048593,86326.4848,193967.62012232
"360010001002","Albany city, NY","12204",976,6.69,6.71,0.32,76,0.343511,91895.7771,53859.9417028979
"360010002001","Albany city, NY","12204",564,4.73,18.99,0.13,221,1.821834,95501.9437,128904.06469636
"360010002001","Albany city, NY","12207",564,4.73,18.99,0.13,221,1.821834,95501.9437,128904.06469636
"360010002001","Albany city, NY","12210",564,4.73,18.99,0.13,221,1.821834,95501.9437,128904.06469636
"360010002002","Albany city, NY","12210",912,5.36,15.38,0.5,56,0.218679,96246.1083,45007.68937509
"360010002002","Albany city, NY","12207",912,5.36,15.38,0.5,56,0.218679,96246.1083,45007.68937509
"360010002003","Albany city, NY","12210",986,5.73,13.09,0.31,92,0.761905,97036.637,84700.5340413987
"360010002004","Albany city, NY","12210",585,2.62,7.86,0.18,42,1.179211,97756.8102,106155.569118845
"360010002004","Albany city, NY","12207",585,2.62,7.86,0.18,42,1.179211,97756.8102,106155.569118845
"360010003001","Albany city, NY","12205",1231,7.85,3.17,0.59,124,8.183219,88942.1462,254430.804920719
"360010003001","Albany city, NY","12206",1231,7.85,3.17,0.59,124,8.183219,88942.1462,254430.804920719
"360010003002","Albany city, NY","12206",1050,6.03,11.39,0.31,194,0.107843,86468.2687,28395.7107602381
"360010003003","Albany city, NY","12211",1352,6.89,4.92,0.5,167,1.247788,87232.6051,97442.6855442388
"360010003003","Albany city, NY","12205",1352,6.89,4.92,0.5,167,1.247788,87232.6051,97442.6855442388
"360010003003","Albany city, NY","12204",1352,6.89,4.92,0.5,167,1.247788,87232.6051,97442.6855442388
"360010003004","Albany city, NY","12205",934,4.55,12.23,0.11,233,2.151344,93767.192,137532.659278608
"360010003004","Albany city, NY","12206",934,4.55,12.23,0.11,233,2.151344,93767.192,137532.659278608
"360010004011","Albany city, NY","12205",1531,7.13,5.88,0.63,500,7.795477,77877.2131,217436.149557771
"360010004011","Albany city, NY","12203",1531,7.13,5.88,0.63,500,7.795477,77877.2131,217436.149557771
"360010004031","Albany city, NY","12206",1240,6.59,5.25,0.51,258,4.723338,93230.5316,202620.16882558
"360010004032","Albany city, NY","12203",1504,6.97,8.11,0.54,340,0.01844,91741.524,12457.9449848094
"360010004033","Albany city, NY","12203",1273,7.38,6.99,0.4,221,0.011461,93067.5858,9963.44905696944
"360010004034","Albany city, NY","12203",1429,5.89,8.69,0.54,208,9.175758,89712.7366,271753.458647036
"360010005011","Albany city, NY","12206",750,4.84,45.49,0.05,105,0.217699,92573.9718,43193.3724492037
"360010005012","Albany city, NY","12206",1121,5.36,6.28,0.35,66,2.245455,93823.0428,140592.350435902
"360010005013","Albany city, NY","12206",1084,5.17,17.52,0.23,67,0.138462,94061.51,35000.7416181541
"360010005014","Albany city, NY","12206",1165,5.78,18.23,0.33,159,0.143969,95293.559,36157.4705555803
"360010005021","Albany city, NY","12203",793,3.97,6.75,0.27,172,13.262774,93740.3973,341384.638091524
"360010005022","Albany city, NY","12203",1195,6.57,9.63,0.38,225,0.228571,92606.9956,44274.5707187813
"360010006001","Albany city, NY","12206",706,3.85,11.22,0.25,42,1.381356,99352.8304,116770.476702177
"360010006002","Albany city, NY","12206",817,6.24,16.82,0.05,38,1.153846,98426.8455,105727.385052504
"360010006003","Albany city, NY","12206",890,5.61,16.57,0.08,113,0.557789,97055.6246,72486.258174323
"360010006003","Albany city, NY","12203",890,5.61,16.57,0.08,113,0.557789,97055.6246,72486.258174323
"360010007001","Albany city, NY","12210",871,6.73,3.87,0.16,80,3.139241,92064.8218,163119.561687383
"360010007001","Albany city, NY","12206",871,6.73,3.87,0.16,80,3.139241,92064.8218,163119.561687383
